"customer_id","gender","number_of_orders","gmv"
85,"Female",3,587.356871919085
86,"Female",2,866.075987230563
87,"Male",0,0
88,"Male",0,0
89,"Male",4,229.879913012525
90,"Female",2,645.662587249039
91,"Female",4,4634.92866656613
92,"Female",0,0
93,"Female",6,29.7186276528727
94,"Female",4,87.5656938418218
95,"Female",5,98.0403062214341
96,"Female",0,0
97,"Female",1,1516.48773615138
98,"Female",3,611.570841302298
99,"Female",0,0
100,"Female",0,0
101,"Female",0,0
102,"Female",0,0
103,"Female",0,0
104,"Male",2,2488.23567458121
105,"Female",0,0
106,"Male",0,0
107,"Male",0,0
108,"Female",3,319.670247964621
109,"Female",3,2446.63071577556
110,"Female",2,1042.72785370384
111,"Male",3,135.03799139888
112,"Female",2,69.2037009664413
113,"Female",2,765.720892889998
114,"Male",0,0
115,"Female",2,8013.17412078521
116,"Female",0,0
117,"Female",3,261.976888369543
118,"Male",4,332.230659825335
119,"Female",3,3839.07067876198
120,"Female",2,825.142614157498
121,"Female",4,26920.6385686439
122,"Female",0,0
123,"Female",1,1857.50049150343
124,"Female",2,186.376221619334
125,"Female",0,0
126,"Male",0,0
127,"Female",2,1567.1734093005
128,"Female",3,10483.0516659675
129,"Female",5,2728.04786658739
130,"Female",5,82.9329920749191
131,"Female",3,1121.16089148603
132,"Male",4,56.7733223028243
133,"Female",0,0
134,"Female",2,5512.04292726218
135,"Female",0,0
136,"Female",0,0
137,"Male",0,0
138,"Female",2,237.472720477985
139,"Male",0,0
140,"Female",2,2232.86520687805
141,"Female",4,1555.94833913306
142,"Female",3,24766.6298862168
143,"Female",7,10088.292409226
144,"Female",5,3508.76243414797
145,"Male",5,5734.43339177176
146,"Female",1,2552.83939137239
147,"Female",4,574.96655508046
148,"Female",4,3436.88112639131
149,"Female",0,0
150,"Female",4,459.960131457282
151,"Male",4,212.416419870906
152,"Female",1,204.1990161859
153,"Female",4,3875.80633752094
154,"Female",0,0
155,"Female",0,0
156,"Female",0,0
157,"Female",5,154.777086637138
158,"Female",0,0
159,"Female",1,43.7921718296859
160,"Female",1,318.46938454529
161,"Female",0,0
162,"Female",4,404.292415175864
163,"Female",0,0
164,"Female",4,2092.79598070756
165,"Female",4,1708.147304585
166,"Female",1,10355.6579193025
167,"Female",4,3077.48341711316
168,"Female",3,53.7664219530523
169,"Female",0,0
170,"Female",3,2637.74063106216
171,"Female",0,0
172,"Female",4,7123.13426230367
173,"Male",3,2247.45406947872
174,"Female",0,0
175,"Female",2,735.943532125744
176,"Female",1,2640.34824197606
177,"Female",5,2965.13085036409
178,"Female",0,0
179,"Male",0,0
180,"Female",0,0
181,"Male",3,20.3620576681729
182,"Female",5,3000.88765857659
183,"Female",0,0
184,"Female",0,0
185,"Female",0,0
186,"Female",2,886.752961338646
187,"Female",2,597.672272148155
188,"Female",2,3151.92509678344
189,"Male",0,0
190,"Male",0,0
191,"Female",6,2265.82780693173
192,"Female",0,0
193,"Male",0,0
194,"Female",2,178.073276851003
195,"Male",0,0
196,"Female",0,0
197,"Female",0,0
198,"Female",0,0
199,"Female",3,419.423990232968
200,"Female",0,0
201,"Female",1,2363.98303745723
202,"Male",0,0
203,"Female",4,18.5541855836525
204,"Female",5,169.183023977656
205,"Female",3,2993.38696773584
206,"Male",0,0
207,"Female",3,2001.16128019198
208,"Female",0,0
209,"Female",4,1711.76191076545
210,"Female",3,426.736653885397
211,"Female",4,469.648435475975
212,"Female",0,0
213,"Female",2,999.171281320067
214,"Female",0,0
215,"Female",4,1951.62913549287
216,"Female",4,449.543200797948
217,"Female",0,0
218,"Female",0,0
219,"Male",0,0
220,"Male",0,0
221,"Female",2,29541.0576056515
222,"Male",5,851.479378199256
223,"Female",2,8086.03012269745
224,"Female",2,73.7144484900866
225,"Female",0,0
226,"Female",3,3871.73017422351
227,"Female",3,5857.19918058767
228,"Female",2,49.7436960042563
229,"Female",0,0
230,"Male",0,0
231,"Female",1,933.836959095792
232,"Female",2,5997.88706804204
233,"Female",0,0
234,"Female",2,891.408958074115
235,"Female",0,0
236,"Female",0,0
237,"Female",3,69461.0868102786
238,"Male",0,0
239,"Female",0,0
240,"Male",0,0
241,"Female",3,90.4116401139517
242,"Female",4,133.753959359732
243,"Female",3,1163.83026790673
244,"Female",3,9020.06680113523
245,"Female",3,886.334653178472
246,"Female",2,2888.63146813323
247,"Female",5,135.934212762876
248,"Male",0,0
249,"Male",3,99.9380635901375
250,"Female",3,338.833004252992
251,"Female",3,15503.4678279724
252,"Female",2,566.961932329921
253,"Female",2,12528.9796682343
254,"Female",0,0
255,"Female",0,0
256,"Female",2,76.1270575742512
257,"Female",3,3702.52959491212
258,"Female",0,0
259,"Female",3,265.42126735319
260,"Male",0,0
261,"Male",0,0
262,"Male",0,0
263,"Female",0,0
264,"Male",0,0
265,"Female",0,0
266,"Female",0,0
267,"Female",4,308.701298519558
268,"Female",6,335.266751044886
269,"Female",2,1020.51061204601
270,"Female",1,586.693893014209
271,"Male",3,47.1960335085511
272,"Female",4,529.588373434814
273,"Female",6,3872.91463060331
274,"Female",0,0
275,"Female",3,16039.3712381236
276,"Female",0,0
277,"Male",4,14.0031487884988
278,"Female",6,13611.2392040571
279,"Female",1,1394.23828472714
280,"Female",1,2195.64135615202
281,"Female",0,0
282,"Female",3,1607.38150979721
283,"Female",3,2528.45687708267
284,"Female",2,308.268516528303
285,"Female",6,82.0643383196797
286,"Female",1,1889.82103144288
287,"Female",3,1477.89131102357
288,"Female",3,1783.10455428523
289,"Female",2,9556.03213883677
290,"Female",1,50009.6988461524
291,"Female",0,0
292,"Female",3,133.088909116656
293,"Female",3,696.268143154404
294,"Male",0,0
295,"Female",5,8515.98055284052
296,"Male",0,0
297,"Male",0,0
298,"Female",2,6369.92713053838
299,"Female",0,0
300,"Female",2,3156.03190354806
301,"Female",1,580.768804328036
302,"Female",3,18588.0662849699
303,"Female",2,9963.8839424868
304,"Female",0,0
305,"Female",1,680.83815724035
306,"Female",0,0
307,"Female",4,1823.8645098768
308,"Female",2,1172.68826915239
309,"Female",2,2765.43972599233
310,"Female",3,5758.606192552
311,"Female",0,0
312,"Female",1,76.6886619704273
313,"Female",3,58.0184328672616
314,"Female",6,3609.13820421588
315,"Female",0,0
316,"Male",0,0
317,"Male",0,0
318,"Female",0,0
319,"Female",2,299.710819705055
320,"Male",0,0
321,"Male",2,2356.16668366732
322,"Female",1,7649.09450343417
323,"Female",0,0
324,"Female",2,243.140176859966
325,"Female",2,2426.51125970508
326,"Female",0,0
327,"Male",0,0
328,"Female",3,27364.9843418706
329,"Female",5,150.237686985598
330,"Male",4,201.79661633627
331,"Female",0,0
332,"Female",2,6943.54511039163
333,"Female",1,600.434031719305
334,"Male",0,0
335,"Female",5,647.150001374069
336,"Female",0,0
337,"Female",0,0
338,"Female",0,0
339,"Female",0,0
340,"Male",0,0
341,"Female",3,732.118525779102
342,"Female",3,34722.3126033429
343,"Female",2,18065.4635247833
344,"Female",3,254.986562549555
345,"Female",2,226.258112762222
346,"Female",1,5244.22889748918
347,"Male",4,1530.76480446956
348,"Female",0,0
349,"Female",3,932.057651336011
350,"Female",4,22243.006549811
351,"Female",3,154.044481243089
352,"Male",0,0
353,"Female",0,0
354,"Female",4,1810.22672230029
355,"Female",3,2101.70487236388
356,"Male",0,0
357,"Female",1,1588.12244987515
358,"Female",3,174.504297777817
359,"Female",5,40886.6463689092
360,"Male",0,0
361,"Female",3,1203.96877278939
362,"Female",3,5745.29115145161
363,"Male",0,0
364,"Female",4,3143.03595998681
365,"Female",4,398.321328575178
366,"Female",0,0
367,"Female",3,5325.44292183979
368,"Female",0,0
369,"Female",3,3956.87526107592
370,"Female",1,499.022154376462
371,"Female",4,442.595368457256
372,"Female",4,1195.76158685496
373,"Male",0,0
374,"Female",0,0
375,"Female",3,1943.74871624445
376,"Male",2,1186.04404877307
377,"Female",2,8262.34009743451
378,"Female",0,0
379,"Female",1,826.250500441223
380,"Male",0,0
381,"Female",1,4007.51271021843
382,"Female",4,3000.22848091319
383,"Female",6,166.107194030068
384,"Female",2,1662.96920452993
385,"Female",1,123.456619100151
386,"Male",0,0
387,"Female",0,0
388,"Female",1,140.216138072869
389,"Female",3,215.281057059072
390,"Female",3,3584.11948670083
391,"Male",4,243.330240630082
392,"Female",5,306.590215283863
393,"Female",3,571.746550769466
394,"Female",3,216.288715460608
395,"Female",0,0
396,"Female",0,0
397,"Female",4,3526.36708995784
398,"Female",3,1036.6043995543
399,"Female",4,531.065904568183
400,"Male",0,0
401,"Male",0,0
402,"Female",5,35.678482719507
403,"Male",4,105.977414192989
404,"Female",4,91.606491088845
405,"Female",1,1048.85387160261
406,"Female",2,1064.68292080035
407,"Female",0,0
408,"Female",3,197.727601242205
409,"Female",3,9741.40888672844
410,"Female",0,0
411,"Female",0,0
412,"Male",4,8478.07347746606
413,"Female",1,217.523766094237
414,"Female",0,0
415,"Female",3,228.07916894484
416,"Female",6,836.002882272884
417,"Male",0,0
418,"Female",0,0
419,"Female",4,102.358871292694
420,"Female",3,10875.5597407901
421,"Female",6,100.295998303416
422,"Female",4,3161.61311998251
423,"Female",0,0
424,"Female",6,945.054725738501
425,"Male",2,100.235267551017
426,"Female",3,950.346350026834
427,"Female",0,0
428,"Female",3,2380.2099017125
429,"Female",2,2705.94690209084
430,"Male",0,0
431,"Male",0,0
432,"Female",4,55.9438716800876
433,"Female",1,1006.16279237137
434,"Male",0,0
435,"Female",6,216.803755810521
436,"Female",2,1019.54210097354
437,"Female",0,0
438,"Female",5,407.96281663671
439,"Female",1,8231.33787936204
440,"Female",2,1846.48075647559
441,"Female",0,0
442,"Female",3,3038.32137542211
443,"Female",2,1830.12978835442
444,"Female",2,358.715593748691
445,"Male",0,0
446,"Female",0,0
447,"Female",0,0
448,"Female",2,1594.24378078106
449,"Female",1,2020.90810637938
450,"Female",2,95.85292284631
451,"Female",4,9639.91493560514
452,"Female",0,0
453,"Female",5,319.346503320463
454,"Female",0,0
455,"Female",0,0
456,"Male",3,468.827517695904
457,"Male",3,3166.91317623301
458,"Female",4,6756.04991002738
459,"Female",2,887.882600988496
460,"Female",0,0
461,"Male",0,0
462,"Female",3,48937.178933778
463,"Female",3,233.700711923668
464,"Female",0,0
465,"Female",3,1758.31439869101
466,"Female",2,724.985047617978
467,"Female",0,0
468,"Female",0,0
469,"Female",2,1094.83968757544
470,"Male",5,507.021491324829
471,"Female",3,94.2706746497782
472,"Male",0,0
473,"Female",0,0
474,"Female",1,2392.48594543175
475,"Female",2,469.136674007438
476,"Female",1,322.107904301091
477,"Female",3,2039.3990529086
478,"Female",0,0
479,"Female",4,2528.28369543861
480,"Female",1,8567.95669564347
481,"Female",4,278.423414654858
482,"Male",0,0
483,"Female",2,3103.10988334096
484,"Female",3,309.390279702554
485,"Male",2,220.325194934388
486,"Female",0,0
487,"Female",2,225.286671871105
488,"Female",0,0
489,"Female",0,0
490,"Male",0,0
491,"Male",4,1099.20891811521
492,"Female",1,242.920252590607
493,"Female",6,3255.08848178233
494,"Female",0,0
495,"Female",4,351.534290300458
496,"Male",0,0
497,"Female",0,0
498,"Female",0,0
499,"Female",0,0
500,"Female",2,447.317295590402
501,"Female",2,677.74515953975
502,"Female",0,0
503,"Female",0,0
504,"Female",0,0
505,"Female",0,0
506,"Female",0,0
507,"Female",2,30.9291128954019
508,"Female",1,498.967712728141
509,"Male",0,0
510,"Female",1,1471.72910934389
511,"Female",0,0
512,"Female",2,4214.79653980806
513,"Male",0,0
514,"Female",0,0
515,"Female",0,0
516,"Female",1,710.414790198134
517,"Female",4,11131.4342806662
518,"Female",3,323.286577686718
519,"Female",2,70.9884048360883
520,"Male",0,0
521,"Female",2,548.579218164202
522,"Female",4,1426.98292622289
523,"Female",0,0
524,"Female",4,936.456213279572
525,"Female",5,284.3490070854
526,"Female",4,1166.66612988091
527,"Male",3,111.201159671148
528,"Female",2,5047.25455159993
529,"Male",2,23.8510937365227
530,"Female",5,1502.69721127496
531,"Male",0,0
532,"Female",4,217.422585631558
533,"Female",0,0
534,"Male",0,0
535,"Female",3,446.87852878753
536,"Female",4,81.5048661224762
537,"Female",5,16120.9988446318
538,"Male",2,885.975459333545
539,"Female",5,116.161940765577
540,"Female",3,288.789806509939
541,"Male",0,0
542,"Female",1,578.164367313848
543,"Male",0,0
544,"Female",5,406.386876639956
545,"Female",2,1013.05336215093
546,"Male",0,0
547,"Female",0,0
548,"Male",0,0
549,"Male",0,0
550,"Female",0,0
551,"Female",0,0
552,"Female",0,0
553,"Female",5,41373.8429448092
554,"Male",0,0
555,"Female",0,0
556,"Female",4,331.504226035002
557,"Female",2,4488.71323897133
558,"Female",4,2640.87397419301
559,"Female",5,837.261109987651
560,"Female",4,218.847998761245
561,"Female",3,510.515091286147
562,"Male",0,0
563,"Female",3,2628.59389255656
564,"Female",2,2604.465945964
565,"Female",4,196.292469384373
566,"Female",0,0
567,"Female",5,12373.6042772552
568,"Male",0,0
569,"Female",0,0
570,"Male",0,0
571,"Female",7,8649.00406538964
572,"Male",0,0
573,"Female",0,0
574,"Female",1,716.540487766712
575,"Male",0,0
576,"Female",4,678.669315621213
577,"Female",1,4691.90039721035
578,"Female",0,0
579,"Female",0,0
580,"Female",4,1869.09340512766
581,"Male",4,99.8997158710794
582,"Male",1,1434.46960046427
583,"Male",2,1770.68733376752
584,"Female",3,1922.23176792128
585,"Male",0,0
586,"Female",2,218.679877419057
587,"Female",2,342.308697428723
588,"Female",3,488.329578519451
589,"Male",4,68.7948807661241
590,"Female",2,8317.8050570861
591,"Female",5,107.155939548969
592,"Female",3,31538.9696361413
593,"Male",4,987.583390574084
594,"Female",3,1344.5971798955
595,"Female",0,0
596,"Male",0,0
597,"Female",4,1454.3358787325
598,"Female",2,4142.3747758702
599,"Male",0,0
600,"Female",1,6380.24011215193
601,"Female",3,1984.5118612826
602,"Female",2,2150.75724388691
603,"Female",0,0
604,"Female",0,0
605,"Female",5,3296.09053984002
606,"Male",0,0
607,"Female",2,2155.9623433303
608,"Male",0,0
609,"Female",6,1094.71947666013
610,"Female",0,0
611,"Female",3,10383.4326729033
612,"Female",2,1308.84005367907
613,"Female",0,0
614,"Male",0,0
615,"Female",0,0
616,"Female",4,4161.42903093051
617,"Male",0,0
618,"Female",2,9475.02171324766
619,"Male",4,148.714726315034
620,"Female",5,4274.8947656992
621,"Male",5,218.287413680449
622,"Male",2,71.0364510628308
623,"Female",1,1697.136058393
624,"Female",3,1050.41847599296
625,"Female",6,1491.08607179618
626,"Female",0,0
627,"Female",4,14677.9758979954
628,"Male",0,0
629,"Female",3,530.986108140785
630,"Female",2,177.505275747922
631,"Female",0,0
632,"Male",4,323.541218604852
633,"Female",5,2296.01424458245
634,"Female",0,0
635,"Female",0,0
636,"Female",5,432.299190968242
637,"Male",0,0
638,"Female",2,7323.16874899689
639,"Male",0,0
640,"Female",2,13118.1300240723
641,"Female",2,1457.95221190724
642,"Female",3,1674.02054309426
643,"Male",2,200.085449195518
644,"Female",4,444.062849250467
645,"Female",0,0
646,"Female",1,3556.08766229911
647,"Female",4,718.175620428456
648,"Female",4,1648.97917316603
649,"Female",4,7257.04442833794
650,"Female",3,2474.0761411896
651,"Female",3,375.072430570382
652,"Male",0,0
653,"Female",0,0
654,"Female",0,0
655,"Female",2,243.417401999987
656,"Male",0,0
657,"Male",0,0
658,"Female",0,0
659,"Female",0,0
660,"Female",5,15730.6069368035
661,"Male",0,0
662,"Male",0,0
663,"Female",3,3144.99994299666
664,"Female",3,5277.58783638175
665,"Female",1,210.81806803411
666,"Female",1,885.454765420751
667,"Male",3,1903.696367024
668,"Female",3,2197.33838848536
669,"Female",4,211.864945813793
670,"Female",0,0
671,"Female",0,0
672,"Female",0,0
673,"Female",2,210.928529522482
674,"Female",2,106.016764300521
675,"Female",0,0
676,"Female",0,0
677,"Male",3,1943.26816307798
678,"Female",3,530.688912943813
679,"Female",0,0
680,"Female",3,123.627912590176
681,"Female",4,26645.1239973703
682,"Female",0,0
683,"Male",4,109.65960305854
684,"Male",2,537.97941600539
685,"Male",0,0
686,"Female",4,1130.87228314649
687,"Female",3,70.6799964303727
688,"Female",1,308.793568147842
689,"Female",1,34.4611622379866
690,"Female",0,0
691,"Female",2,1051.99313316239
692,"Female",5,15199.342263122
693,"Female",0,0
694,"Female",5,5255.62809435162
695,"Female",1,1229.64314683382
696,"Female",1,5934.5050966663
697,"Female",3,1386.06506311213
698,"Female",1,558.579848125331
699,"Female",2,8213.29204737344
700,"Female",0,0
701,"Male",0,0
702,"Female",3,6772.93920409586
703,"Female",0,0
704,"Male",0,0
705,"Female",3,208.888008842788
706,"Female",5,1118.12322010515
707,"Female",0,0
708,"Female",4,824.496923369366
709,"Female",6,643.51846030352
710,"Female",4,5369.94393755232
711,"Female",0,0
712,"Female",4,373.880460047103
713,"Female",3,1040.63599963725
714,"Female",5,13635.5468294461
715,"Female",0,0
716,"Female",5,6315.46615295165
717,"Female",3,4037.57121479754
718,"Female",0,0
719,"Male",0,0
720,"Female",1,108.449530790678
721,"Female",4,4860.60969235947
722,"Female",2,188.425885510931
723,"Female",5,730.534974710457
724,"Male",0,0
725,"Female",4,572.076195521873
726,"Female",0,0
727,"Male",0,0
728,"Female",4,694.448286357327
729,"Female",0,0
730,"Female",5,62.0480589204873
731,"Female",5,241.710732194951
732,"Male",0,0
733,"Female",1,1291.9422487613
734,"Male",0,0
735,"Female",3,17741.4713244872
736,"Female",0,0
737,"Male",0,0
738,"Male",2,249.407552460911
739,"Female",3,2217.26210273562
740,"Female",2,2525.65767906308
741,"Male",0,0
742,"Female",2,29207.1262580994
743,"Female",1,759.032390052833
744,"Female",2,348.201698992789
745,"Female",3,2951.62614028164
746,"Female",0,0
747,"Female",0,0
748,"Female",3,916.382467612233
749,"Female",2,1005.93497226303
750,"Male",2,265.895359018311
751,"Female",1,5151.52638918602
752,"Female",0,0
753,"Female",1,1294.53096437493
754,"Female",3,7969.52923718522
755,"Female",0,0
756,"Female",3,262.16775509667
757,"Female",1,21529.0435249766
758,"Male",0,0
759,"Female",0,0
760,"Female",4,1708.11768558287
761,"Female",0,0
762,"Female",0,0
763,"Female",0,0
764,"Female",1,19922.8297935503
765,"Female",4,2769.94772969347
766,"Female",5,2700.33171440424
767,"Female",5,209.795489185087
768,"Female",4,37.3503374211327
769,"Female",3,1917.82578729901
770,"Female",0,0
771,"Male",4,1089.13443900785
772,"Male",0,0
773,"Female",5,247.20665746255
774,"Male",3,1134.03022734248
775,"Female",0,0
776,"Female",0,0
777,"Female",0,0
778,"Female",2,5341.50183776197
779,"Female",0,0
780,"Male",3,44.1652875590245
781,"Female",3,11382.9507886266
782,"Male",2,1215.42250792361
783,"Female",7,1456.48208310915
784,"Female",0,0
785,"Male",4,195.088535715099
786,"Female",4,2700.11848842878
787,"Female",5,1294.76310501171
788,"Female",5,123.728002306631
789,"Female",0,0
790,"Male",4,234.324669337904
791,"Male",0,0
792,"Female",2,178.102562473547
793,"Female",2,2489.2410743018
794,"Female",2,484.686649007779
795,"Male",0,0
796,"Female",2,308.761549004126
797,"Female",4,72.8951530842552
798,"Female",2,117.437933872087
799,"Female",2,2029.08087488649
800,"Female",0,0
801,"Female",2,281.817962696002
802,"Female",2,4552.1566928741
803,"Female",0,0
804,"Female",0,0
805,"Female",4,77.9157113633995
806,"Male",0,0
807,"Female",0,0
808,"Female",4,639.828115459085
809,"Female",2,3278.04502412129
810,"Female",3,180.73727354644
811,"Female",3,10463.6073091117
812,"Female",3,459.792946581325
813,"Female",2,8191.07612747067
814,"Male",0,0
815,"Female",3,999.44560025546
816,"Female",0,0
817,"Female",0,0
818,"Female",4,64644.9638121753
819,"Female",0,0
820,"Female",1,1946.01074841569
821,"Female",0,0
822,"Female",0,0
823,"Female",4,478.412169518847
824,"Male",0,0
825,"Female",5,314.876441733545
826,"Female",0,0
827,"Female",0,0
828,"Female",4,4178.45227246493
829,"Female",0,0
830,"Female",1,497.647039317245
831,"Female",1,353.261817927545
832,"Female",3,1058.76151619395
833,"Female",0,0
834,"Female",0,0
835,"Female",3,1810.82597264696
836,"Female",2,2072.55793393662
837,"Female",0,0
838,"Female",2,1106.76012730522
839,"Female",2,1488.02057707913
840,"Female",3,8629.71093779308
841,"Male",0,0
842,"Female",3,574.10559253054
843,"Female",4,1947.02882307177
844,"Female",4,601.731618402584
845,"Female",3,66.9090310232742
846,"Female",0,0
847,"Male",0,0
848,"Female",5,1078.05110084297
849,"Female",0,0
850,"Female",4,432.06394736765
851,"Female",3,1165.29822866261
852,"Female",0,0
853,"Male",3,1740.33764701101
854,"Female",0,0
855,"Female",3,1575.13499194986
856,"Female",4,646.355589196678
857,"Male",0,0
858,"Female",0,0
859,"Female",0,0
860,"Male",0,0
861,"Female",0,0
862,"Female",2,6282.48111730828
863,"Female",0,0
864,"Female",2,1821.04529495334
865,"Female",4,119.609625660896
866,"Female",0,0
867,"Female",4,261.541160204764
868,"Female",1,3134.68340324916
869,"Female",0,0
870,"Female",0,0
871,"Female",0,0
872,"Female",3,207.310924325889
873,"Female",1,3116.7844243301
874,"Female",1,411.668374398443
875,"Male",0,0
876,"Female",0,0
877,"Female",1,418.853667181337
878,"Female",0,0
879,"Male",4,228.1538784393
880,"Female",4,673.263863912094
881,"Female",2,7049.95447678204
882,"Male",0,0
883,"Female",3,1864.84420305894
884,"Female",0,0
885,"Female",1,2873.56072839958
886,"Male",3,4661.17940461581
887,"Female",2,945.452935923167
888,"Female",2,961.669471687906
889,"Female",2,1237.02667764244
890,"Female",0,0
891,"Female",0,0
892,"Female",3,9954.26042184253
893,"Female",0,0
894,"Female",6,20590.8017808044
895,"Male",0,0
896,"Female",4,41.2051169065322
897,"Female",0,0
898,"Female",5,495.057591003373
899,"Female",2,2842.73575157667
900,"Female",4,1167.67709469181
901,"Male",0,0
902,"Female",0,0
903,"Male",0,0
904,"Female",3,748.01927083314
905,"Female",3,244.964666005101
906,"Female",3,1912.70490001607
907,"Female",0,0
908,"Male",0,0
909,"Male",4,50.2413232324782
910,"Female",4,809.580154672706
911,"Female",4,1190.10306491366
912,"Female",0,0
913,"Male",0,0
914,"Female",2,909.783900399304
915,"Female",2,187.478993518121
916,"Male",0,0
917,"Female",0,0
918,"Female",5,7326.27570744335
919,"Female",0,0
920,"Female",0,0
921,"Male",0,0
922,"Female",4,121.773830884725
923,"Female",0,0
924,"Male",0,0
925,"Female",2,400.306203805858
926,"Female",0,0
927,"Female",2,3083.01224446445
928,"Female",1,374.594586002236
929,"Female",0,0
930,"Female",1,2099.33065466131
931,"Male",3,998.181480783353
932,"Female",1,944.561850843234
933,"Female",0,0
934,"Female",3,2178.49360264144
935,"Male",0,0
936,"Female",0,0
937,"Female",1,221.212757820807
938,"Male",1,129.467914357938
939,"Male",0,0
940,"Female",0,0
941,"Male",0,0
942,"Female",5,24911.472319327
943,"Female",3,1213.05240494046
944,"Female",3,13054.4459490824
945,"Female",0,0
946,"Female",0,0
947,"Female",4,2325.50166888294
948,"Female",0,0
949,"Female",2,31479.2607376093
950,"Female",0,0
951,"Female",1,163.486921505016
952,"Female",4,212.273299883147
953,"Male",0,0
954,"Female",0,0
955,"Female",5,1350.76652896832
956,"Male",2,632.795567838871
957,"Female",0,0
958,"Female",3,5285.70312805189
959,"Female",0,0
960,"Female",0,0
961,"Female",3,1507.6983643325
962,"Female",0,0
963,"Female",3,488.598465088016
964,"Female",3,700.25687323015
965,"Male",0,0
966,"Female",0,0
967,"Female",5,8656.02785986619
968,"Female",3,1297.88312174733
969,"Female",6,2113.80246703743
970,"Female",2,4266.03978564101
971,"Female",5,1870.25665461676
972,"Female",0,0
973,"Male",5,446.408965543436
974,"Female",4,1881.13373379629
975,"Female",2,493.43314373624
976,"Female",2,762.612946754732
977,"Male",0,0
978,"Female",4,34.0791340032862
979,"Female",1,18754.7252778244
980,"Female",0,0
981,"Female",0,0
982,"Female",3,1091.50134820123
983,"Male",0,0
984,"Female",0,0
985,"Male",0,0
986,"Female",0,0
987,"Female",3,1731.93988179739
988,"Female",2,333.145277163755
989,"Female",3,424.239082330104
990,"Female",2,6922.93838915828
991,"Female",6,206.040920177475
992,"Female",0,0
993,"Female",2,1007.67711812544
994,"Female",2,1707.23790788822
995,"Female",4,1972.57826144325
996,"Male",4,511.252843307735
997,"Female",2,5132.60756658105
998,"Female",4,3846.27465221774
999,"Female",5,125.997315710392
1000,"Female",4,51.3682394582971
1001,"Female",4,1476.17772713275
1002,"Female",0,0
1003,"Female",0,0
1004,"Male",2,15.6162219403483
1005,"Male",5,361.599333428221
1006,"Female",0,0
1007,"Female",0,0
1008,"Female",0,0
1009,"Female",4,820.259332036276
1010,"Female",5,279.854911560151
1011,"Female",0,0
1012,"Female",3,595.165743346158
1013,"Female",0,0
1014,"Female",5,538.496065480287
1015,"Female",0,0
1016,"Female",4,106.137043624557
1017,"Female",2,54.6005238095178
1018,"Female",4,2747.16327332007
1019,"Female",3,787.494083340128
1020,"Female",0,0
1021,"Female",3,3347.94873240777
1022,"Female",2,16129.7025671187
1023,"Female",4,250.465040818634
1024,"Female",0,0
1025,"Male",0,0
1026,"Female",5,3056.48000202668
1027,"Female",0,0
1028,"Female",0,0
1029,"Female",3,7808.8340801984
1030,"Female",0,0
1031,"Female",3,7227.28654581998
1032,"Female",3,160.171894922025
1033,"Female",0,0
1034,"Female",2,2664.71512286098
1035,"Female",3,3168.16532344155
1036,"Female",5,227.573685703317
1037,"Female",0,0
1038,"Female",0,0
